date,symbol,router,aggregator,weights,mu,var
2023-05-26,META,risk,median,{'heur': 1.0},1.9212139232783039,1e-06
2023-06-02,NVDA,risk,median,{'heur': 1.0},2.204632204989565,1e-06
2023-06-02,MSFT,risk,median,{'heur': 1.0},1.6715341710873255,1e-06
2023-06-02,AAPL,risk,median,{'heur': 1.0},1.5847865520184465,1e-06
2023-06-02,GOOGL,risk,median,{'heur': 1.0},1.631968256956035,1e-06
2023-06-02,AMZN,risk,median,{'heur': 1.0},1.744821579965743,1e-06
2023-06-02,META,risk,median,{'heur': 1.0},1.8306729761262468,1e-06
2023-06-09,NVDA,risk,median,{'heur': 1.0},2.3702626721437605,1e-06
2023-06-09,MSFT,risk,median,{'heur': 1.0},1.5238844624027232,1e-06
2023-06-09,AAPL,risk,median,{'heur': 1.0},1.7735827324919453,1e-06
2023-06-09,GOOGL,risk,median,{'heur': 1.0},1.5671335235285944,1e-06
2023-06-09,AMZN,risk,median,{'heur': 1.0},1.910294578018033,1e-06
2023-06-09,META,risk,median,{'heur': 1.0},1.821870696430703,1e-06
2023-06-16,NVDA,risk,median,{'heur': 1.0},2.22388307962288,1e-06
2023-06-16,MSFT,risk,median,{'heur': 1.0},1.8180382683317171,1e-06
2023-06-16,AAPL,risk,median,{'heur': 1.0},1.5865292046748782,1e-06
2023-06-16,GOOGL,risk,median,{'heur': 1.0},1.4478201395202857,1e-06
2023-06-16,AMZN,risk,median,{'heur': 1.0},1.5351243445197855,1e-06
2023-06-16,META,risk,median,{'heur': 1.0},1.9211730679857781,1e-06
2023-06-23,NVDA,risk,median,{'heur': 1.0},2.071821128000661,1e-06
2023-06-23,MSFT,risk,median,{'heur': 1.0},1.4924943445487595,1e-06
2023-06-23,AAPL,risk,median,{'heur': 1.0},1.6125615481524926,1e-06
2023-06-23,GOOGL,risk,median,{'heur': 1.0},1.411791560989327,1e-06
2023-06-23,AMZN,risk,median,{'heur': 1.0},1.6097224487726969,1e-06
2023-06-23,META,risk,median,{'heur': 1.0},1.944381149599152,1e-06
2023-06-30,NVDA,risk,median,{'heur': 1.0},1.9277530218598882,1e-06
2023-06-30,MSFT,risk,median,{'heur': 1.0},1.4773922938103752,1e-06
2023-06-30,AAPL,risk,median,{'heur': 1.0},1.6451773225282298,1e-06
2023-06-30,GOOGL,risk,median,{'heur': 1.0},1.4043557838495904,1e-06
2023-06-30,AMZN,risk,median,{'heur': 1.0},1.56911443055276,1e-06
2023-06-30,META,risk,median,{'heur': 1.0},1.7516516229274801,1e-06
2023-07-07,NVDA,risk,median,{'heur': 1.0},1.9102580196040013,1e-06
2023-07-07,MSFT,risk,median,{'heur': 1.0},1.4507247326970896,1e-06
2023-07-07,AAPL,risk,median,{'heur': 1.0},1.7997184052833481,1e-06
2023-07-07,GOOGL,risk,median,{'heur': 1.0},1.3477720337026284,1e-06
2023-07-07,AMZN,risk,median,{'heur': 1.0},1.5108658790790896,1e-06
2023-07-07,META,risk,median,{'heur': 1.0},1.7069142606672985,1e-06
2023-07-14,NVDA,risk,median,{'heur': 1.0},2.273741472983173,1e-06
2023-07-14,MSFT,risk,median,{'heur': 1.0},1.4727866556271125,1e-06
2023-07-14,AAPL,risk,median,{'heur': 1.0},1.4611487243708716,1e-06
2023-07-14,GOOGL,risk,median,{'heur': 1.0},1.7247498253541353,1e-06
2023-07-14,AMZN,risk,median,{'heur': 1.0},1.8458990771120287,1e-06
2023-07-14,META,risk,median,{'heur': 1.0},1.885823834983967,1e-06
2023-07-21,NVDA,risk,median,{'heur': 1.0},1.835260498108923,1e-06
2023-07-21,MSFT,risk,median,{'heur': 1.0},1.7771641499930126,1e-06
2023-07-21,AAPL,risk,median,{'heur': 1.0},1.461772233802603,1e-06
2023-07-21,GOOGL,risk,median,{'heur': 1.0},1.3845388452823053,1e-06
2023-07-21,AMZN,risk,median,{'heur': 1.0},1.4907423200330874,1e-06
2023-07-21,META,risk,median,{'heur': 1.0},1.6649615715843007,1e-06
2023-07-28,NVDA,risk,median,{'heur': 1.0},1.929970824065748,1e-06
2023-07-28,MSFT,risk,median,{'heur': 1.0},1.3951153795034654,1e-06
2023-07-28,AAPL,risk,median,{'heur': 1.0},1.4509450590397286,1e-06
2023-07-28,GOOGL,risk,median,{'heur': 1.0},1.831007576561177,1e-06
